iter	Passed	Remaining
889	27967	3456
890	27994	3424
891	28023	3392
892	28127	3370
893	28180	3341
894	28209	3309
895	28242	3278
896	28317	3251
897	28350	3220
898	28379	3188
899	28410	3156
900	28435	3124
901	28462	3092
902	28489	3060
903	28515	3028
904	28540	2995
905	28571	2964
906	28600	2932
907	28632	2901
908	28665	2869
909	28694	2837
910	28720	2805
911	28751	2774
912	28776	2742
913	28804	2710
914	28838	2678
915	28868	2647
916	28897	2615
917	28927	2583
918	28956	2552
919	28984	2520
920	29010	2488
921	29035	2456
922	29059	2424
923	29083	2392
924	29110	2360
925	29137	2328
926	29168	2297
927	29204	2265
928	29242	2234
929	29277	2203
930	29305	2171
931	29334	2140
932	29362	2108
933	29387	2076
934	29415	2044
935	29443	2013
936	29469	1981
937	29498	1949
938	29527	1918
939	29555	1886
940	29581	1854
941	29610	1823
942	29816	1802
943	29912	1774
944	29973	1744
945	30004	1712
946	30034	1680
947	30060	1648
948	30087	1616
949	30112	1584
950	30139	1552
951	30166	1521
952	30192	1489
953	30224	1457
954	30255	1425
955	30284	1393
956	30312	1362
957	30340	1330
958	30365	1298
959	30390	1266
960	30415	1234
961	30443	1202
962	30470	1170
963	30495	1138
964	30520	1106
965	30545	1075
966	30573	1043
967	30597	1011
968	30621	979
969	30644	947
970	30673	916
971	30698	884
972	30720	852
973	30740	820
974	30759	788
975	30781	756
976	30807	725
977	30836	693
978	30866	662
979	30895	630
980	30926	598
981	30958	567
982	30989	535
983	31020	504
984	31051	472
985	31082	441
986	31113	409
987	31144	378
988	31174	346
989	31218	315
990	31255	283
991	31295	252
992	31336	220
993	31469	189
994	31544	158
995	31573	126
996	31601	95
997	31631	63
998	31658	31
999	31687	0
